ville,trigramme
Ajaccio,AJA
Bastia,BIA
Biarritz,BIQ
Bordeaux,BOD
Brest,BES
Calvi,CLY
Figari,FSC
Lille,LIL
Lyon,LYS
Marseille,MRS
Montpellier,MPL
Nice,NCE
Paris,CDG
Perpignan,PGF
Strasbourg,SXB
Toulon,TLN
Toulouse,TLS
Alicante,ALC
Barcelone,BCN
Bilbao,BIO
Fuerteventura,FUE
Grenade,GRX
Ibiza,IBZ
Lanzarote,ACE
Madrid,MAD
Malaga,AGP
Minorque,MAH
Palma de Majorque,PMI
Séville,SVQ
Ténérife,TFS
Valence,VLC
Bari,BRI
Bergame,BGY
Bologne,BLQ
Catane,CTA
Florence,FLR
Milan,MXP
Naples,NAP
Olbia,OLB
Palerme,PMO
Pise,PSA
Rome,FCO
Venise,VCE
Faro,FAO
Lisbonne,LIS
Madère,FNC
Porto,OPO
Birmingham,BHX
Bournemouth,BOH
Bristol,BRS
Édimbourg,EDI
Glasgow,GLA
Leeds,LBA
Londres,LHR
Manchester,MAN
Berlin,BER
Düsseldorf,DUS
Francfort,FRA
Hambourg,HAM
Munich,MUC
Athènes,ATH
Corfou,CFU
Héraklion,HER
Kalamata,KLX
Kos,KGS
Mykonos,JMK
Rhodes,RHO
Santorin,JTR
Agadir,AGA
Casablanca,CMN
Essaouira,ESU
Fès,FEZ
Marrakech,RAK
Nador,NDR
Oujda,OUD
Rabat,RBA
Tanger,TNG
Amsterdam,AMS
Bruxelles Charleroi,CRL
Budapest,BUD
Copenhague,CPH
Dublin,DUB
Genève,GVA
Luxembourg,LUX
Oslo,OSL
Prague,PRG
Split,SPU
Stockholm,ARN
Vienne,VIE
Djerba,DJE
Tunis,TUN
Hurghada,HRG
Louxor,LXR
Tel Aviv,TLV
Fort-de-France,FDF
Pointe-à-Pitre,PTP
